customerID,churn_probability,churn_prediction,risk_level,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,OnlineSecurity,TechSupport,PaymentMethod
9305-CDSKC,1.0,Yes,Critical Risk,8,Month-to-month,99.65,820.5,Fiber optic,No,No,Electronic check
6894-LFHLY,1.0,Yes,Critical Risk,1,Month-to-month,75.75,75.75,Fiber optic,No,No,Electronic check
1066-JKSGK,1.0,Yes,Critical Risk,1,Month-to-month,20.15,20.15,No,No internet service,No internet service,Mailed check
4102-OQUPX,1.0,Yes,Critical Risk,1,Month-to-month,74.4,74.4,Fiber optic,No,No,Electronic check
9124-LHCJQ,1.0,Yes,Critical Risk,1,Month-to-month,85.45,85.45,Fiber optic,No,No,Mailed check
1285-OKIPP,1.0,Yes,Critical Risk,1,Month-to-month,79.9,79.9,Fiber optic,No,No,Electronic check
1273-MTETI,1.0,Yes,Critical Risk,4,Month-to-month,88.85,372.45,Fiber optic,No,No,Electronic check
2845-AFFTX,1.0,Yes,Critical Risk,41,Month-to-month,99.8,4259.3,Fiber optic,No,No,Electronic check
2636-ALXXZ,1.0,Yes,Critical Risk,1,Month-to-month,69.6,69.6,Fiber optic,No,No,Electronic check
5542-TBBWB,1.0,Yes,Critical Risk,1,Month-to-month,69.9,69.9,Fiber optic,No,No,Electronic check
0495-RVCBF,1.0,Yes,Critical Risk,1,Month-to-month,79.7,79.7,Fiber optic,No,No,Electronic check
3066-RRJIO,1.0,Yes,Critical Risk,1,Month-to-month,69.95,69.95,Fiber optic,No,No,Mailed check
4603-JANFB,1.0,Yes,Critical Risk,1,Month-to-month,69.85,69.85,Fiber optic,No,No,Electronic check
1304-NECVQ,1.0,Yes,Critical Risk,2,Month-to-month,78.55,149.55,Fiber optic,No,No,Electronic check
8972-HJWNV,1.0,Yes,Critical Risk,7,Month-to-month,84.55,646.85,Fiber optic,No,No,Electronic check
9025-AOMKI,1.0,Yes,Critical Risk,6,Month-to-month,93.55,536.4,Fiber optic,No,No,Bank transfer (automatic)
4910-GMJOT,1.0,Yes,Critical Risk,1,Month-to-month,94.6,94.6,Fiber optic,No,No,Electronic check
4424-TKOPW,1.0,Yes,Critical Risk,2,Month-to-month,93.85,196.75,Fiber optic,No,No,Electronic check
5960-WPXQM,1.0,Yes,Critical Risk,1,Month-to-month,79.05,79.05,Fiber optic,No,No,Electronic check
5299-SJCZT,1.0,Yes,Critical Risk,3,Month-to-month,101.55,298.35,Fiber optic,No,No,Bank transfer (automatic)
9850-OWRHQ,1.0,Yes,Critical Risk,3,Month-to-month,74.1,228,Fiber optic,No,No,Credit card (automatic)
7660-HDPJV,1.0,Yes,Critical Risk,1,Month-to-month,69.2,69.2,Fiber optic,No,No,Electronic check
8098-LLAZX,1.0,Yes,Critical Risk,4,Month-to-month,95.45,396.1,Fiber optic,No,No,Electronic check
4988-IQIGL,1.0,Yes,Critical Risk,1,Month-to-month,75.35,75.35,Fiber optic,No,No,Electronic check
4078-SAYYN,1.0,Yes,Critical Risk,11,Month-to-month,100.75,1129.75,Fiber optic,No,No,Electronic check
9248-OJYKK,1.0,Yes,Critical Risk,1,Month-to-month,76.45,76.45,Fiber optic,No,No,Electronic check
9399-APLBT,1.0,Yes,Critical Risk,1,Month-to-month,74.7,74.7,Fiber optic,No,No,Electronic check
3988-RQIXO,1.0,Yes,Critical Risk,1,Month-to-month,91.3,91.3,Fiber optic,No,No,Electronic check
4695-WJZUE,1.0,Yes,Critical Risk,2,Month-to-month,88.55,179.25,Fiber optic,No,No,Electronic check
7216-EWTRS,1.0,Yes,Critical Risk,1,Month-to-month,100.8,100.8,Fiber optic,No,No,Electronic check
0488-GSLFR,1.0,Yes,Critical Risk,1,Month-to-month,69.5,69.5,Fiber optic,No,No,Electronic check
7665-TOALD,1.0,Yes,Critical Risk,1,Month-to-month,69.6,69.6,Fiber optic,No,No,Electronic check
2777-PHDEI,1.0,Yes,Critical Risk,1,Month-to-month,78.05,78.05,Fiber optic,No,No,Electronic check
2982-IHMFT,1.0,Yes,Critical Risk,1,Month-to-month,74.45,74.45,Fiber optic,No,No,Mailed check
2660-EMUBI,1.0,Yes,Critical Risk,10,Month-to-month,95.35,898.35,Fiber optic,No,No,Electronic check
5240-IJOQT,1.0,Yes,Critical Risk,1,Month-to-month,74.7,74.7,Fiber optic,No,No,Electronic check
7638-QVMVY,1.0,Yes,Critical Risk,7,Month-to-month,79.0,522.95,Fiber optic,No,No,Electronic check
5550-VFRLC,1.0,Yes,Critical Risk,1,Month-to-month,69.85,69.85,Fiber optic,No,No,Electronic check
5552-ZNFSJ,1.0,Yes,Critical Risk,1,Month-to-month,45.3,45.3,DSL,No,No,Electronic check
5393-RXQSZ,1.0,Yes,Critical Risk,1,Month-to-month,79.6,79.6,Fiber optic,No,No,Electronic check
6513-EECDB,1.0,Yes,Critical Risk,1,Month-to-month,73.55,73.55,Fiber optic,No,No,Electronic check
6941-PMGEP,1.0,Yes,Critical Risk,5,Month-to-month,80.0,412.5,Fiber optic,No,No,Electronic check
1965-AKTSX,1.0,Yes,Critical Risk,14,Month-to-month,78.95,1101.85,Fiber optic,No,No,Electronic check
8149-RSOUN,1.0,Yes,Critical Risk,1,Month-to-month,93.85,93.85,Fiber optic,No,No,Electronic check
5570-PTWEH,1.0,Yes,Critical Risk,3,Month-to-month,75.15,216.75,Fiber optic,No,No,Credit card (automatic)
3091-FYHKI,1.0,Yes,Critical Risk,1,Month-to-month,35.45,35.45,DSL,No,No,Electronic check
6457-GIRWB,1.0,Yes,Critical Risk,1,Month-to-month,69.35,69.35,Fiber optic,No,No,Electronic check
6502-MJQAE,1.0,Yes,Critical Risk,1,Month-to-month,69.6,69.6,Fiber optic,No,No,Electronic check
4192-GORJT,1.0,Yes,Critical Risk,5,Month-to-month,94.45,498.1,Fiber optic,No,No,Electronic check
4871-JTKJF,1.0,Yes,Critical Risk,1,Month-to-month,69.65,69.65,Fiber optic,No,No,Electronic check
4143-OOBWZ,1.0,Yes,Critical Risk,5,Month-to-month,81.3,416.3,Fiber optic,No,No,Electronic check
7851-WZEKY,1.0,Yes,Critical Risk,2,Month-to-month,95.15,196.9,Fiber optic,No,No,Electronic check
0841-NULXI,1.0,Yes,Critical Risk,1,Month-to-month,35.55,35.55,DSL,No,No,Electronic check
5875-YPQFJ,1.0,Yes,Critical Risk,1,Month-to-month,69.9,69.9,Fiber optic,No,No,Electronic check
8603-IJWDN,1.0,Yes,Critical Risk,1,Month-to-month,86.6,86.6,Fiber optic,No,No,Electronic check
1374-DMZUI,1.0,Yes,Critical Risk,4,Month-to-month,94.3,424.45,Fiber optic,No,No,Electronic check
3158-MOERK,1.0,Yes,Critical Risk,2,Month-to-month,96.0,174.8,Fiber optic,No,No,Electronic check
2868-MZAGQ,1.0,Yes,Critical Risk,1,Month-to-month,79.25,79.25,Fiber optic,No,No,Electronic check
7206-GZCDC,1.0,Yes,Critical Risk,1,Month-to-month,69.25,69.25,Fiber optic,No,No,Electronic check
0196-VULGZ,1.0,Yes,Critical Risk,6,Month-to-month,84.35,474.9,Fiber optic,No,No,Electronic check
6567-HOOPW,1.0,Yes,Critical Risk,1,Month-to-month,79.2,79.2,Fiber optic,No,No,Electronic check
